day_of_month,weekday,month,year,hour_of_day,minute_of_hour,author,body
28,Friday,May,2021,5,53,Carol,"Anyway, the apartment’s a nice big one"
16,Friday,August,2019,7,25,Bette Porter,Big enough for two
23,Saturday,January,2021,6,35,Carol,I was hoping you might like to come live with me but I guess you won’t
13,Sunday,October,2019,5,5,Bette Porter,"Would you? Come out? I think I can get out here and stay here a bit, but if we don't, I mean, this is my apartment"
8,Thursday,July,2021,12,47,Waverly,"Just think of me as a house, living in it"
15,Saturday,February,2020,11,15,Carol,And you're your own house
22,Saturday,February,2020,16,3,Carol,I'm the only one who knows about your love… I'm the only one even having you
6,Monday,September,2021,18,24,Bette Porter,"But… if we don't…

""You can't just leave us like this"
15,Wednesday,April,2020,2,28,Arizona,Like
29,Sunday,March,2020,5,6,Waverly,Alone
8,Friday,November,2019,17,9,Bette Porter,In the apartment
27,Thursday,May,2021,8,15,Bette Porter,For the rest of your life
3,Monday,February,2020,9,19,Therese,<Media omitted>
26,Tuesday,March,2019,22,16,Waverly,""" The house was small, except for the big bath, and the couch that hung on the wall behind it:

""Uh… um"
22,Saturday,February,2020,15,9,Carol,"I'm sorry, I feel… sorry for you"
2,Tuesday,February,2021,18,55,Therese,"I just felt like we'd spent too many days together, talking, and the idea of being around each other"
22,Sunday,March,2020,20,15,Carol,"My life wouldn't be the same as it is now without you, or something"
18,Saturday,April,2020,5,53,Arizona,"It's like being under your roof, surrounded around you in a dark place, without your comfort"
27,Monday,May,2019,8,43,Therese,"It's like if you didn't get your head on straight it might get so hot, your entire body might snap and fall off, a pain that you couldn't even imagine"
23,Sunday,June,2019,8,59,Waverly,"And then I was like in this room, you like that, and I didn"
26,Thursday,August,2021,0,36,Waverly,<Media omitted>
21,Sunday,February,2021,9,58,Therese,"— #Snooper‼️ (@The_Snooper) February 1, 2017

@The_Snooper @Fooch_Fooch and I do not have a phone but it is up in the lobby @The_Snooper"
20,Monday,December,2021,22,54,Arizona,Maybe you’d like to come visit me sometime
5,Tuesday,October,2021,8,57,Waverly,"How about you? Do you want to take a selfie?’What about you?’But before you leave, what, do you want to leave?’And then what?—Please do"
8,Thursday,August,2019,8,22,Arizona,<Media omitted>
24,Sunday,May,2020,23,33,Arizona,you want to leave?—And then
12,Monday,July,2021,20,1,Carol,<Media omitted>
20,Monday,January,2020,11,46,Waverly,‥  I'd like you to come with me for one of my classes
9,Thursday,July,2020,14,35,Waverly,‥I'll take you to a classroom where you can play with new toys
27,Friday,March,2020,3,36,Therese,I just want your consent
17,Saturday,October,2020,13,25,Bette Porter,<Media omitted>
27,Friday,August,2021,18,47,Bette Porter,"""No way"
19,Thursday,August,2021,4,23,Carol,<Media omitted>
31,Wednesday,July,2019,21,37,Bette Porter,"‧I would love to stay here, but then I could leave without a second thought for how you might react"
2,Friday,July,2021,22,16,Carol,I wouldn't blame you
29,Monday,April,2019,16,8,Therese,"""I won't hurt you"
16,Saturday,May,2020,22,41,Waverly,I'm not a girl
16,Sunday,June,2019,18,11,Waverly,"‧If I don't make you happy, I won't hurt you"
15,Wednesday,May,2019,13,54,Arizona,"‧I don't care, thank you"
31,Sunday,May,2020,16,40,Carol,<Media omitted>
1,Friday,February,2019,15,55,Carol,"I'm all you, my love"
29,Monday,June,2020,15,48,Arizona,"""Yes Elsa"
24,Tuesday,September,2019,16,37,Arizona,You don't have to miss me
8,Tuesday,October,2019,2,0,Therese,even when I don't smile
19,Tuesday,November,2019,12,32,Arizona,"""So,""Anna said, reaching out for the soft, comforting arm she had"
15,Monday,February,2021,6,43,Carol,Invite me ’round
29,Friday,October,2021,14,13,Therese,"And make sure you have a team of 5 players over 2,000 of whom have over a million and we have the perfect team, and the same number of players with as many friends over 2"
4,Tuesday,May,2021,3,55,Bette Porter,<Media omitted>
29,Monday,June,2020,15,18,Bette Porter,<Media omitted>
8,Monday,November,2021,6,10,Bette Porter,"We are going to do it, and if we don't like it or don't take care of it and we start to say ""Hey, this is a team, I want these 5 people over all that you have on the team, let's try one, and some other team as well over the team"
