datetime,day_of_month,weekday,month,year,hour_of_day,minute_of_hour,author,body
2019-01-01 18:26:00,1,Tuesday,January,2019,18,26,Arizona,<Media omitted>
2019-01-01 19:38:00,1,Tuesday,January,2019,19,38,Carol,Do not talk to me right away if you really want to talk to them
2019-01-01 20:34:00,1,Tuesday,January,2019,20,34,Carol,<Media omitted>
2019-01-01 21:55:00,1,Tuesday,January,2019,21,55,Therese,A pair of bright red shoes
2019-01-01 22:53:00,1,Tuesday,January,2019,22,53,Carol,Just think of it
2019-01-01 23:16:00,1,Tuesday,January,2019,23,16,Waverly,"It doesn't matter how long I stay here, or it's going to take me longer than it feels like"
2019-01-02 02:01:00,2,Wednesday,January,2019,2,1,Therese,"When she arrived at her seat in the large room, Hanako sat, her arms folded over her chest"
2019-01-02 05:40:00,2,Wednesday,January,2019,5,40,Therese,I'd rather stay in the car and look at her in her bed than be alone… or at least not to think to be
2019-01-02 08:57:00,2,Wednesday,January,2019,8,57,Waverly,"You are still here, and I trust you"
2019-01-03 00:53:00,3,Thursday,January,2019,0,53,Therese,While a few of the dishes I'm sharing here may not seem obvious – those of you who aren't California natives may not
2019-01-03 01:29:00,3,Thursday,January,2019,1,29,Therese,I can't wait
2019-01-03 12:36:00,3,Thursday,January,2019,12,36,Waverly,"Sometimes you are like, 'oh okay"
2019-01-04 07:56:00,4,Friday,January,2019,7,56,Bette Porter,It's not about where you've been in the first couple of weeks
2019-01-04 17:49:00,4,Friday,January,2019,17,49,Waverly,<Media omitted>
2019-01-04 18:03:00,4,Friday,January,2019,18,3,Waverly,It's about time you came to visit the house
2019-01-04 18:15:00,4,Friday,January,2019,18,15,Waverly,I was so
2019-01-04 20:59:00,4,Friday,January,2019,20,59,Arizona,Advertisements
2019-01-05 05:59:00,5,Saturday,January,2019,5,59,Waverly,It's such an important thing
2019-01-05 09:41:00,5,Saturday,January,2019,9,41,Waverly,"Hmmm?

’(sigh) You look like a good boy"
2019-01-05 11:35:00,5,Saturday,January,2019,11,35,Carol,The light is out and the smell seems less oppressive than the normal bed
2019-01-05 13:31:00,5,Saturday,January,2019,13,31,Arizona,<Media omitted>
2019-01-05 17:54:00,5,Saturday,January,2019,17,54,Arizona,"With that said, the team has also announced that the crew has signed on to host a show for the channel at a later time"
2019-01-05 23:20:00,5,Saturday,January,2019,23,20,Bette Porter,"But first, I have a lot of love for you"
2019-01-06 00:59:00,6,Sunday,January,2019,0,59,Therese,So far
2019-01-06 02:27:00,6,Sunday,January,2019,2,27,Therese,<Media omitted>
2019-01-06 04:19:00,6,Sunday,January,2019,4,19,Carol,"(pause, kisses, kisses, kisses, kisses) (kisses) (kisses) Good boy"
2019-01-06 05:43:00,6,Sunday,January,2019,5,43,Waverly,I want to see you for myself
2019-01-06 10:01:00,6,Sunday,January,2019,10,1,Waverly,<Media omitted>
2019-01-06 15:11:00,6,Sunday,January,2019,15,11,Bette Porter,"Richard, here on this show, he's in Washington this morning as we prepare for the election"
2019-01-06 17:47:00,6,Sunday,January,2019,17,47,Carol,M
2019-01-06 18:11:00,6,Sunday,January,2019,18,11,Therese,"Would you sign this letter to Michigan Secretary of State Connie Lawson at Governor Snyder's Office, with Secretary of State John Merrill?

CONCER L"
2019-01-07 08:17:00,7,Monday,January,2019,8,17,Bette Porter,I think you’d like them
2019-01-07 12:18:00,7,Monday,January,2019,12,18,Waverly,"But you have another goal, one that's impossible to fulfill without someone having to come to your aid"
2019-01-07 14:56:00,7,Monday,January,2019,14,56,Waverly,I don't think much of doing anything for you anymore in my room
2019-01-07 22:07:00,7,Monday,January,2019,22,7,Carol,"Even for a woman of her size, to keep all of her belongings close to her face"
2019-01-08 04:51:00,8,Tuesday,January,2019,4,51,Carol,"You think I would be so nervous if I was your wife when you say that, but I am"
2019-01-08 10:13:00,8,Tuesday,January,2019,10,13,Bette Porter,m
2019-01-08 13:23:00,8,Tuesday,January,2019,13,23,Carol,I want you here
2019-01-08 16:52:00,8,Tuesday,January,2019,16,52,Carol,"In fact, I have worked on all the projects I don't want the kids to hear about"
2019-01-09 06:26:00,9,Wednesday,January,2019,6,26,Arizona,I will go and play at your place while I look at you
2019-01-09 13:28:00,9,Wednesday,January,2019,13,28,Waverly,"And the truth is that this has turned into a very political situation, based on one of the most reactionary elements that we've seen in all of history"
2019-01-09 15:28:00,9,Wednesday,January,2019,15,28,Waverly,"Would you like to come visit me this Sunday? We have a game on Wednesday, June 10"
2019-01-09 18:00:00,9,Wednesday,January,2019,18,0,Therese,Would you? Would you please don’s the furniture’s your bed? The sofa I just bought you should be on there too! I'm so happy I bought that
2019-01-10 06:47:00,10,Thursday,January,2019,6,47,Therese,"Looking back, Harry knew that the best he could do was to take the first step"
2019-01-10 08:44:00,10,Thursday,January,2019,8,44,Bette Porter,<Media omitted>
2019-01-10 09:11:00,10,Thursday,January,2019,9,11,Bette Porter,"""You have a right to your own opinions"
2019-01-10 18:26:00,10,Thursday,January,2019,18,26,Arizona,They’t are a great group
2019-01-11 20:46:00,11,Friday,January,2019,20,46,Carol,"I had a conversation with this man, whose father, who is not a natural, but a"
2019-01-11 21:41:00,11,Friday,January,2019,21,41,Arizona,(Sighs for a moment longer…) I am
2019-01-12 00:17:00,12,Saturday,January,2019,0,17,Bette Porter,"Well, let's get you up there, shall we? I'll have tea with you, because I'm hungry"
2019-01-12 01:37:00,12,Saturday,January,2019,1,37,Therese,"The president said last night that he has spoken to a lot of folks, but he never brought up the idea of an automatic spending bill going into effect — because, I think, the president will not talk about it without the Republican Congress saying it will"
2019-01-12 03:06:00,12,Saturday,January,2019,3,6,Carol,I'm going from here for just 10 minutes to be with you and see about making your new life more comfortable
2019-01-12 04:09:00,12,Saturday,January,2019,4,9,Carol,Because I'm tired now so I have three full days
2019-01-12 06:17:00,12,Saturday,January,2019,6,17,Arizona,I think there is a huge potential for this show and I just think people can do it too
2019-01-12 12:24:00,12,Saturday,January,2019,12,24,Carol,I am not afraid to give you a chance
2019-01-12 15:12:00,12,Saturday,January,2019,15,12,Waverly,<Media omitted>
2019-01-12 16:03:00,12,Saturday,January,2019,16,3,Therese,"The next thing I knew, her face was covered in blood"
2019-01-13 01:17:00,13,Sunday,January,2019,1,17,Waverly,But I never think that about it
2019-01-13 02:40:00,13,Sunday,January,2019,2,40,Bette Porter,"For more information, see our Ticket Buyer page"
2019-01-13 21:58:00,13,Sunday,January,2019,21,58,Waverly,<Media omitted>
2019-01-14 00:36:00,14,Monday,January,2019,0,36,Therese,There's probably good schools but there's also an air of over-reliance on the middle class
2019-01-14 04:39:00,14,Monday,January,2019,4,39,Waverly,"We'll have more to give you, but do tell me you love me"
2019-01-14 10:17:00,14,Monday,January,2019,10,17,Therese,<Media omitted>
2019-01-14 10:38:00,14,Monday,January,2019,10,38,Bette Porter,<Media omitted>
2019-01-14 16:28:00,14,Monday,January,2019,16,28,Therese,She
2019-01-15 04:25:00,15,Tuesday,January,2019,4,25,Carol,It gets hard to be nice to people here and it's a shame sometimes
2019-01-15 11:44:00,15,Tuesday,January,2019,11,44,Bette Porter,Miller and Mr
2019-01-16 03:26:00,16,Wednesday,January,2019,3,26,Carol,<Media omitted>
2019-01-16 04:38:00,16,Wednesday,January,2019,4,38,Waverly,"""I'm sorry, what's up?""

No response"
2019-01-16 06:16:00,16,Wednesday,January,2019,6,16,Bette Porter,"""

What did the kids say about being able to sleep next to a TV in a studio?

""It's good"
2019-01-16 10:06:00,16,Wednesday,January,2019,10,6,Carol,"Let me take you to lunch, it’s the least I can do"
2019-01-16 15:49:00,16,Wednesday,January,2019,15,49,Bette Porter,You can also join my team
2019-01-16 20:37:00,16,Wednesday,January,2019,20,37,Bette Porter,<Media omitted>
2019-01-16 23:21:00,16,Wednesday,January,2019,23,21,Therese,I've seen you grow here already and I've seen you learn to love that and be happy there
2019-01-16 23:53:00,16,Wednesday,January,2019,23,53,Bette Porter,I'll stay here
2019-01-17 02:58:00,17,Thursday,January,2019,2,58,Arizona,"I mean… my home you talk to here is so creepy!

Come on"
2019-01-17 03:20:00,17,Thursday,January,2019,3,20,Arizona,Like I did with my boyfriend
2019-01-17 04:27:00,17,Thursday,January,2019,4,27,Therese,"Let me take you to lunch, it’s the least I can do"
2019-01-17 13:46:00,17,Thursday,January,2019,13,46,Bette Porter,"She could never talk like that, either, and even if she could, no one could talk like that"
2019-01-17 23:31:00,17,Thursday,January,2019,23,31,Therese,It was about five feet away
2019-01-18 00:03:00,18,Friday,January,2019,0,3,Therese,I had my daughter when she was a little girl
2019-01-18 02:20:00,18,Friday,January,2019,2,20,Waverly,""" (He's still wearing his white tee, barely enough for him to move forward"
2019-01-18 13:10:00,18,Friday,January,2019,13,10,Waverly,"""Hello, do you come to join us?""

""Yes, it's my place"
2019-01-18 17:14:00,18,Friday,January,2019,17,14,Carol,Would you? I'm so relieved about your coming
2019-01-19 04:00:00,19,Saturday,January,2019,4,0,Arizona,[You walk into the bathroom
2019-01-19 14:25:00,19,Saturday,January,2019,14,25,Bette Porter,"」

「Gross! There were some things in the room that we should have not seen"
2019-01-19 19:57:00,19,Saturday,January,2019,19,57,Waverly,"So if I could do that to you, I would"
2019-01-20 00:49:00,20,Sunday,January,2019,0,49,Therese,You're not
2019-01-20 02:56:00,20,Sunday,January,2019,2,56,Carol,"In the early days of the operation, the number of active B-class frigates slowly became depleted"
2019-01-20 11:14:00,20,Sunday,January,2019,11,14,Carol,That's good for us
2019-01-20 14:27:00,20,Sunday,January,2019,14,27,Arizona,Your tongue
2019-01-20 20:32:00,20,Sunday,January,2019,20,32,Therese,’’M’m
2019-01-21 11:56:00,21,Monday,January,2019,11,56,Therese,I just want to give myself to an opponent
2019-01-21 18:20:00,21,Monday,January,2019,18,20,Bette Porter,<Media omitted>
2019-01-21 22:14:00,21,Monday,January,2019,22,14,Therese,The whole auto package is in place with so many other things in the
2019-01-22 01:14:00,22,Tuesday,January,2019,1,14,Waverly,"Did the two people bring you there when they were drunk?


No, they brought me there"
2019-01-22 03:22:00,22,Tuesday,January,2019,3,22,Waverly,<Media omitted>
2019-01-22 03:45:00,22,Tuesday,January,2019,3,45,Arizona,But not that night
2019-01-22 03:46:00,22,Tuesday,January,2019,3,46,Bette Porter,"I wouldn't care if you leave, I can get out of"
2019-01-22 06:24:00,22,Tuesday,January,2019,6,24,Waverly,<Media omitted>
2019-01-22 19:35:00,22,Tuesday,January,2019,19,35,Waverly,"After a brief pause, the apartment door opened and he came in to meet his girl, as her face was so happy"
2019-01-22 20:30:00,22,Tuesday,January,2019,20,30,Bette Porter,"No one knows how you can have an unknown party member tell the story, because there are no rules that can define what you can say"
2019-01-23 02:16:00,23,Wednesday,January,2019,2,16,Carol,You've tried every thing you could imagine
2019-01-23 03:07:00,23,Wednesday,January,2019,3,7,Waverly,", when I shall be in Egypt, and I will tell the Hebrews how long they await him"
2019-01-23 14:50:00,23,Wednesday,January,2019,14,50,Bette Porter,Our characters get so much more in depth but that's not really my gripe with
2019-01-23 18:04:00,23,Wednesday,January,2019,18,4,Arizona,There was only one other person standing there
2019-01-23 20:37:00,23,Wednesday,January,2019,20,37,Bette Porter,Please add any comments you can leave here below
2019-01-24 01:04:00,24,Thursday,January,2019,1,4,Waverly,"""Some of the time I'm here for lunch or after work, and I'm really not in it for the time"
2019-01-24 04:31:00,24,Thursday,January,2019,4,31,Carol,S
2019-01-24 11:50:00,24,Thursday,January,2019,11,50,Carol,Invite me ’round
2019-01-25 07:05:00,25,Friday,January,2019,7,5,Arizona,"Because I'd have loved something I'm not in, no matter how bad my feelings may be"
2019-01-25 20:44:00,25,Friday,January,2019,20,44,Carol,It could be better if she didn't speak
2019-01-26 03:31:00,26,Saturday,January,2019,3,31,Arizona,"""I like this game and I'm really proud that I play for this club, and for the history of this area"
2019-01-26 05:04:00,26,Saturday,January,2019,5,4,Bette Porter,I know you liked it
2019-01-26 06:16:00,26,Saturday,January,2019,6,16,Carol,"Advertisement

You should listen to yourself"
2019-01-26 09:52:00,26,Saturday,January,2019,9,52,Waverly,"Blue Cloud (Votes, 50+):"
2019-01-26 15:48:00,26,Saturday,January,2019,15,48,Carol,"I'm still having a hard time with my boyfriend because I'm going to find a way to live with my boyfriend and he's still in my life, no"
2019-01-26 16:55:00,26,Saturday,January,2019,16,55,Bette Porter,"Fuck, it's too bad I can't"
2019-01-26 17:56:00,26,Saturday,January,2019,17,56,Bette Porter,"There are so many emotions there, including what the words mean"
2019-01-27 04:22:00,27,Sunday,January,2019,4,22,Therese,The kitchen is completely open
2019-01-27 07:03:00,27,Sunday,January,2019,7,3,Bette Porter,"(kiss) (laugh) So I take it that you like to be fucked in the flesh? Ah, yes"
2019-01-27 08:51:00,27,Sunday,January,2019,8,51,Carol,Why
2019-01-27 12:18:00,27,Sunday,January,2019,12,18,Arizona,It feels good to get out of here so I better come early
2019-01-27 13:42:00,27,Sunday,January,2019,13,42,Therese,"I don't care if you go back to work every day, you'd better move on"
